url,caption,author
https://www.tiktok.com/@blancaperezt/video/7296841094669700385,,blancaperezt
https://www.tiktok.com/@hikingwithhollywood/video/7204524604046658862,,hikingwithhollywood
https://www.tiktok.com/@blancaperezt/video/7297199127224503585,,blancaperezt
https://www.tiktok.com/@phoebemoonx/video/7293046811932036384,,phoebemoonx
https://www.tiktok.com/@volunteerworld/video/7418862730242788641,,volunteerworld
https://www.tiktok.com/@kamran_khan_ym/video/7412380877277138194,,kamran_khan_ym
https://www.tiktok.com/@sembalunlombok/video/7199666207736352026,,sembalunlombok
https://www.tiktok.com/@pitor.official/video/7325648852067896578,,pitor.official
https://www.tiktok.com/@brbcatchingflights/video/7391875900532395282,,brbcatchingflights
https://www.tiktok.com/@bradenjstanley/video/7260111850895969541,,bradenjstanley
https://www.tiktok.com/@journeysbynicole/video/7189398652119452971,,journeysbynicole
https://www.tiktok.com/@luxetravelcouple/video/7220094755399617798,,luxetravelcouple
https://www.tiktok.com/@dalephilipvlogs/video/7285348490266397984,,dalephilipvlogs
https://www.tiktok.com/@mileswithfi/video/7321444420765715745,,mileswithfi
https://www.tiktok.com/@reisememoires/video/7300207041749011745,,reisememoires
https://www.tiktok.com/@mmeritravels/video/7341578986163604778,,mmeritravels
https://www.tiktok.com/@lu_madeline/video/7381475781047848224,,lu_madeline
https://www.tiktok.com/@travelagentandy/video/7204620712684948782,,travelagentandy
https://www.tiktok.com/@boujeebudgettravel/video/7365959701676297505,,boujeebudgettravel
https://www.tiktok.com/@amalfijets/video/7413155548515814698,,amalfijets
https://www.tiktok.com/@beatrizanjos8/video/7411044030735240481,,beatrizanjos8
https://www.tiktok.com/@laxtoluxury/video/7184967344131738926,,laxtoluxury
https://www.tiktok.com/@queencitytrends/video/7388696491117907243,,queencitytrends
https://www.tiktok.com/@biscoitando_music/video/7415791184045460742,,biscoitando_music
https://www.tiktok.com/@laxtoluxury/video/7229054501800447275,,laxtoluxury
https://www.tiktok.com/@thepointsguy/video/7361544837641981230,,thepointsguy
https://www.tiktok.com/@visit/video/7310969919552638240,,visit
https://www.tiktok.com/@linlondyn/video/7356659720452672810,,linlondyn
https://www.tiktok.com/@aadavedenoja/video/7335204152311581984,,aadavedenoja
https://www.tiktok.com/@laxtoluxury/video/7328157119260167455,,laxtoluxury
https://www.tiktok.com/@carielizabethh/video/7359247492178922795,,carielizabethh
https://www.tiktok.com/@currentlycarterr/video/7366060355560279326,,currentlycarterr
https://www.tiktok.com/@laxtoluxury/video/7367173258422078763,,laxtoluxury
https://www.tiktok.com/@jacksdiningroom/video/7380126463674207534,,jacksdiningroom
https://www.tiktok.com/@intericoart/video/7334436694369783073,,intericoart
https://www.tiktok.com/@fuelyourwander/video/7328055146305375530,,fuelyourwander
https://www.tiktok.com/@fuelyourwander/video/7200111672974069038,,fuelyourwander
https://www.tiktok.com/@soleneoj/video/7219314390607219974,,soleneoj
https://www.tiktok.com/@hillarybowles/video/7328225833821244715,,hillarybowles
https://www.tiktok.com/@sarahlovingly/video/7398530095683521822,,sarahlovingly
https://www.tiktok.com/@bobbiestraveldiaries/video/7360399978566569248,,bobbiestraveldiaries
https://www.tiktok.com/@undiscoveredpathhome/video/7324619460424371488,,undiscoveredpathhome
https://www.tiktok.com/@hayleyryantravel/video/7379712385054952746,,hayleyryantravel
https://www.tiktok.com/@jakehughesss/video/7364080361455799585,,jakehughesss
https://www.tiktok.com/@dalephilip/video/7274266416155610369,,dalephilip
https://www.tiktok.com/@dreamers.welcome/video/7315880842037841195,,dreamers.welcome
https://www.tiktok.com/@epic.stays/video/7204932048144977198,,epic.stays
https://www.tiktok.com/@satedventurestravel/video/7329498489237327146,,satedventurestravel
https://www.tiktok.com/@myfloridaguide/video/7381612673768639787,,myfloridaguide
https://www.tiktok.com/@tahynarandalll/video/7413133422564019477,,tahynarandalll
https://www.tiktok.com/@banyuwangi24jamofficial/video/7359975748691643653,,banyuwangi24jamofficial
https://www.tiktok.com/@pauiietravels/video/7188533262267026731,,pauiietravels
https://www.tiktok.com/@thegsfamily_/video/7402375964472249630,,thegsfamily_
https://www.tiktok.com/@juicybodygoddess/video/7414626921880767774,,juicybodygoddess
https://www.tiktok.com/@didyouknow_thesefacts/video/7238047088603434267,,didyouknow_thesefacts
https://www.tiktok.com/@luxuryexplorer1/video/7267966672743550240,,luxuryexplorer1
https://www.tiktok.com/@hauntyou.u/video/7366998512921365793,,hauntyou.u
https://www.tiktok.com/@carielizabethh/video/7278743251144822062,,carielizabethh
https://www.tiktok.com/@banyuwangi24jamofficial/video/7358096661576469765,,banyuwangi24jamofficial
https://www.tiktok.com/@elisolanotravels/video/7225626969193614638,,elisolanotravels
https://www.tiktok.com/@epicscreenshots/video/7378727506146233643,,epicscreenshots
https://www.tiktok.com/@magnicity/video/7191167024083504426,,magnicity
https://www.tiktok.com/@doseofsydnee/video/7325311041015975211,,doseofsydnee
https://www.tiktok.com/@elisolanotravels/video/7239381690903268650,,elisolanotravels
https://www.tiktok.com/@ia.reddit/video/7385699915114056993,,ia.reddit
https://www.tiktok.com/@hauntyou.u/video/7392681386580135200,,hauntyou.u
https://www.tiktok.com/@prosto.daanya/video/7403451309166464302,,prosto.daanya
https://www.tiktok.com/@aclownandherdolly/video/7185690685499133190,,aclownandherdolly
https://www.tiktok.com/@fulltimewarehouse/video/7404322439167020319,,fulltimewarehouse
https://www.tiktok.com/@helzzzrich/video/7205637256487472390,,helzzzrich
https://www.tiktok.com/@tarabferrara/video/7377438693478501675,,tarabferrara
https://www.tiktok.com/@kieraj2019/video/7404318882917371179,,kieraj2019
https://www.tiktok.com/@candy_hikes/video/7392106417479634219,,candy_hikes
https://www.tiktok.com/@elisolanotravels/video/7199719243703913774,,elisolanotravels
https://www.tiktok.com/@izzacarolino/video/7341813162368339207,,izzacarolino
https://www.tiktok.com/@iamtseringgrg/video/7407089930351955246,,iamtseringgrg
https://www.tiktok.com/@faeiiza.s/video/7204593151531699483,,faeiiza.s
https://www.tiktok.com/@lynh_luu/video/7364384079652916488,,lynh_luu
https://www.tiktok.com/@bambang_rahayu2/video/7360602935824370949,,bambang_rahayu2
https://www.tiktok.com/@ranawijaaya/video/7288625682500930821,,ranawijaaya
https://www.tiktok.com/@mioteriyaki/video/7363658570090417440,,mioteriyaki
https://www.tiktok.com/@tryingtobequiet/video/7371484883283381550,,tryingtobequiet
https://www.tiktok.com/@haleyhitstheroad/video/7192411580015840554,,haleyhitstheroad
https://www.tiktok.com/@dalephilipvlogs/video/7284917036021533984,,dalephilipvlogs
https://www.tiktok.com/@vanillatrilla1/video/7213459009075039493,,vanillatrilla1
https://www.tiktok.com/@dalephilipvlogs/video/7291344828242087201,,dalephilipvlogs
https://www.tiktok.com/@blythe/video/7243727571593006342,,blythe
https://www.tiktok.com/@sabrinapangilinan/video/7359662044368489734,,sabrinapangilinan
https://www.tiktok.com/@dalephilip/video/7274571212435492097,,dalephilip
https://www.tiktok.com/@dalephilip/video/7271074548303367426,,dalephilip
https://www.tiktok.com/@notaregularnanny/video/7395254184393821486,,notaregularnanny
https://www.tiktok.com/@dalephilip/video/7266853085572566273,,dalephilip
https://www.tiktok.com/@yaelaeliza/video/7283415248151776545,,yaelaeliza
https://www.tiktok.com/@tessbray3/video/7278748033494306094,,tessbray3
https://www.tiktok.com/@biigmaama/video/7196888921580604718,,biigmaama
https://www.tiktok.com/@boundtoherbackpack/video/7242087686775885058,,boundtoherbackpack
https://www.tiktok.com/@sofialigeros/video/7224412889698880770,,sofialigeros
https://www.tiktok.com/@harrisonwiedman/video/7369097368211426592,,harrisonwiedman
https://www.tiktok.com/@dalephilip/video/7203874370026999042,,dalephilip
https://www.tiktok.com/@shaunamackd/video/7270244582510677281,,shaunamackd
https://www.tiktok.com/@dalephilipvlogs/video/7285348490266397984,,dalephilipvlogs
https://www.tiktok.com/@doseoftravel/video/7308560632230759726,,doseoftravel
https://www.tiktok.com/@notalabamahannah/video/7377266861328665898,,notalabamahannah
https://www.tiktok.com/@gihihihina/video/7347367459659222305,,gihihihina
https://www.tiktok.com/@dalephilipvlogs/video/7283184576564972833,,dalephilipvlogs
https://www.tiktok.com/@usernamelotus2/video/7383698228388121899,,usernamelotus2
https://www.tiktok.com/@titopaulo825/video/7306701283082161414,,titopaulo825
https://www.tiktok.com/@travelingwithtals/video/7404319357288926510,,travelingwithtals
https://www.tiktok.com/@iamsiennachristine/video/7184939933658909994,,iamsiennachristine
https://www.tiktok.com/@sydneyl1ttle/video/7315603053170691333,,sydneyl1ttle
https://www.tiktok.com/@terlouwjlr/video/7314290840065625377,,terlouwjlr
https://www.tiktok.com/@luvley_leti/video/7239746185244757274,,luvley_leti
https://www.tiktok.com/@lifewithdaniielle/video/7224614602515025195,,lifewithdaniielle
https://www.tiktok.com/@cynthiajeannet/video/7358309827124268293,,cynthiajeannet
https://www.tiktok.com/@truckertoby51/video/7356677000007896366,,truckertoby51
https://www.tiktok.com/@faye_readsbooks/video/7400635015236750625,,faye_readsbooks
https://www.tiktok.com/@0skhan0/video/7403419775281450273,,0skhan0
https://www.tiktok.com/@paolavillegasm/video/7376871887009254661,,paolavillegasm
